[17-Aug-2014 12:32:59 PM] Mod T used command:	[obj 23923 0 2]
[17-Aug-2014 12:33:01 PM] Mod T used command:	[obj 23923 0 2]
[17-Aug-2014 12:33:02 PM] Mod T used command:	[obj 23923 0 2]
[17-Aug-2014 12:33:05 PM] Mod T used command:	[tele 0,40,48,43,17]
[17-Aug-2014 12:34:23 PM] Mod T used command:	[xtele 2605 3085]
[17-Aug-2014 12:34:34 PM] Mod T used command:	[tele 0,40,48,47,17]
[17-Aug-2014 12:34:36 PM] Mod T used command:	[obj 42219 10]
[17-Aug-2014 12:34:41 PM] Mod T used command:	[tele 0,40,48,46,16]
[17-Aug-2014 12:34:42 PM] Mod T used command:	[obj 42219 1]
[17-Aug-2014 12:34:43 PM] Mod T used command:	[obj 42219 1]
[17-Aug-2014 12:34:45 PM] Mod T used command:	[obj 42219 10 1]
[17-Aug-2014 12:36:11 PM] Mod T used command:	[xtele 2605 3085]
[17-Aug-2014 12:37:30 PM] Mod T used command:	[tele 0,48,54,20,42]
[17-Aug-2014 12:37:45 PM] Mod T used command:	[xtele 2605 3085]
[17-Aug-2014 12:37:56 PM] Mod T used command:	[tele 0,40,48,40,14]
[17-Aug-2014 12:38:05 PM] Mod T used command:	[n 519 EAST]
[17-Aug-2014 12:38:10 PM] Mod T used command:	[N 190 east]
[17-Aug-2014 12:38:21 PM] Mod T used command:	[rspns]
[17-Aug-2014 12:38:30 PM] Mod T used command:	[n 2241 EAST]
[17-Aug-2014 12:38:39 PM] Mod T used command:	[N 4375 EAST]
[17-Aug-2014 12:38:50 PM] Mod T used command:	[N 6537 EAST]
[17-Aug-2014 12:38:52 PM] Mod T used command:	[tele 0,40,48,44,17]
[17-Aug-2014 12:40:25 PM] Mod T used command:	[tele 0,40,48,40,14]
[17-Aug-2014 12:40:27 PM] Mod T used command:	[pos]
[17-Aug-2014 12:40:28 PM] Mod T used command:	[tele 0,40,48,40,15]
[17-Aug-2014 12:40:29 PM] Mod T used command:	[pos]
[17-Aug-2014 12:41:21 PM] Mod T used command:	[tele 0,40,48,42,15]
[17-Aug-2014 12:41:33 PM] Mod T used command:	[tele 0,40,48,50,24]
[17-Aug-2014 12:42:09 PM] Mod T used command:	[tele 0,48,54,23,43]
[17-Aug-2014 12:42:12 PM] Mod T used command:	[tele 0,48,54,24,40]
[17-Aug-2014 12:42:13 PM] Mod T used command:	[parseobjects]
[17-Aug-2014 12:42:38 PM] Mod T used command:	[xtele 2605 3085]
[17-Aug-2014 12:42:44 PM] Mod T used command:	[tele 0,40,48,51,25]
[17-Aug-2014 12:42:45 PM] Mod T used command:	[tele 0,40,48,54,24]
[17-Aug-2014 12:42:47 PM] Mod T used command:	[obj 42377 10 1]
[17-Aug-2014 12:42:52 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:42:54 PM] Mod T used command:	[tele 0,40,48,54,25]
[17-Aug-2014 12:42:55 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:42:55 PM] Mod T used command:	[tele 0,40,48,54,23]
[17-Aug-2014 12:42:57 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:42:59 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:01 PM] Mod T used command:	[tele 0,40,48,54,22]
[17-Aug-2014 12:43:01 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:02 PM] Mod T used command:	[tele 0,40,48,54,21]
[17-Aug-2014 12:43:03 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:05 PM] Mod T used command:	[tele 0,40,48,54,20]
[17-Aug-2014 12:43:06 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:07 PM] Mod T used command:	[tele 0,40,48,54,19]
[17-Aug-2014 12:43:07 PM] Mod T used command:	[obj 42377 10 2]
[17-Aug-2014 12:43:08 PM] Mod T used command:	[tele 0,40,48,54,18]
[17-Aug-2014 12:43:09 PM] Mod T used command:	[obj 42377 10 2]
